LogFilename: 2020-06-09-00:54:11_monitoringLog
JSonLogFilename: 2020-06-09-00:54:11_monitoringLog
[MEA]
opName	opIdx	runtime
query	0	1569342
select	1	2045
select	2	2048
merge_sorted	3	186
my_project_wit_t	4	309
join	5	1413636
my_project_wit_t	6	37201
select	7	146
select	8	97
merge_sorted	9	13
my_project_wit_t	10	21
join	11	11135
my_project_wit_t	12	35525
my_project_wit_t	13	442
select	14	2
my_project_wit_t	15	0
join	16	375
my_project_wit_t	17	45862
my_project_wit_t	18	389
my_project_wit_t	19	2
my_project_wit_t	20	16
my_project_wit_t	21	146
my_project_wit_t	22	1
my_project_wit_t	23	315
my_project_wit_t	24	18924
my_project_wit_t	25	389
my_project_wit_t	26	2
my_project_wit_t	27	0
my_project_wit_t	28	1
group_vec	29	11
group_vec	30	10
group_vec	31	6
my_project_wit_t	32	0
agg_sum	33	0
my_project_wit_t	34	0
my_project_wit_t	35	0
[RES]
221,221,1997,451127624
225,225,1997,479084411
225,221,1997,426168330
221,225,1997,390793767
